"Species","Mobility","AFF.MO","AMBI","Fragilite","AFF.RO","Tube","Taille","GT","Position","worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"Malacoceros fuliginosus","Mobile","IV","V","Tres fragile","Meuble","0","PM","Deposivore","Endofaune","131131","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Malacoceros","Malacoceros fuliginosus"
"Malacoceros girardi","Mobile","IV","III","Tres fragile","Meuble","0","M","Deposivore","Endofaune","338471","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Malacoceros","Malacoceros girardi"
"Malacoceros spp.","Mobile","IV","V","Tres fragile","Meuble","0","M","Deposivore","Endofaune","129614","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Malacoceros",NA
"Maldanidae spp.","Peu mobile","I","I","Tres fragile","Meuble","1","M","Deposivore","Endofaune","923","Animalia","Annelida","Polychaeta",NA,"Maldanidae",NA,NA
"Malmgrenia spp.","Mobile","II","I","Peu fragile","Indifferent","0","P","Predateur","Epifaune","147006","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia",NA
"Malmgrenia andreapolis","Mobile","II","II","Peu fragile","Meuble","0","P","Commensalisme","Epifaune","147008","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia andreapolis"
"Malmgrenia arenicolae","Mobile","II","I","Peu fragile","Meuble","0","P","Predateur","Epifaune","152276","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia arenicolae"
"Malmgrenia castanea","Mobile","II","II","Peu fragile","Meuble","0","PM","Predateur","Epifaune","152357","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia castanea"
"Malmgrenia darbouxi","Mobile","II","II","Peu fragile","Meuble","0","P","Predateur","Epifaune","863197","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia darbouxi"
"Malmgrenia ljungmani","Mobile","II","II","Peu fragile","Dur","0","P","Predateur","Epifaune","152304","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia ljungmani"
"Malmgrenia lunulata","Mobile","II","II","Peu fragile","Dur","0","P","Predateur","Epifaune","155194","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia lunulata"
"Leufroyia leufroyi",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","248256","Animalia","Mollusca","Gastropoda","Neogastropoda","Raphitomidae","Leufroyia","Leufroyia leufroyi"
"Malmgrenia marphysae","Mobile","II","II","Peu fragile","Meuble","0","PM","Predateur","Epifaune","152267","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia marphysae"
"Malmgrenia mcintoshi","Mobile","II","II","Peu fragile","Dur","0","P","Predateur","Epifaune","147007","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia mcintoshi"
"Idotea spp.",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","118454","Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea",NA
"Malmgrenia polypapillata","Mobile","II","II","Peu fragile","Meuble","0","TP","Predateur","Epifaune","863304","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia polypapillata"
"Mangelia attenuata","Peu mobile","I","II","Pas fragile","Meuble","0","P","Predateur","Epifaune","139265","Animalia","Mollusca","Gastropoda","Neogastropoda","Mangeliidae","Mangelia","Mangelia attenuata"
"Mangelia costata","Peu mobile","I","II","Pas fragile","Meuble","0","P","Predateur","Epifaune","139272","Animalia","Mollusca","Gastropoda","Neogastropoda","Mangeliidae","Mangelia","Mangelia costata"
"Mangelia costulata","Peu mobile","I","I","Pas fragile","Meuble","0","P","Predateur","Epifaune","154073","Animalia","Mollusca","Gastropoda","Neogastropoda","Mangeliidae","Mangelia","Mangelia costulata"
"Manzonia crassa","Peu mobile","I","I","Tres fragile","Meuble","0","TP","Deposivore","Epifaune","141291","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Manzonia","Manzonia crassa"
"Limatula",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","138127","Animalia","Mollusca","Bivalvia","Limida","Limidae","Limatula",NA
"Marphysa","Mobile","II","II","Tres fragile","Indifferent","0","MG","Omnivore","Interstice","129281","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Marphysa",NA
"Marphysa sanguinea","Mobile","II","I","Tres fragile","Indifferent","0","G","Predateur","Interstice","130075","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Marphysa","Marphysa sanguinea"
"Marshallora adversa","Fixe","I","I","Pas fragile","Dur","0","TP","Predateur","Interstice","141715","Animalia","Mollusca","Gastropoda","[unassigned] Caenogastropoda","Triphoridae","Marshallora","Marshallora adversa"
"Marthasterias glacialis","Mobile","II","I","Peu fragile","Indifferent","0","M","Predateur","Epifaune","123803","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Marthasterias","Marthasterias glacialis"
"Maxmuelleria","Peu mobile","I",NA,"Tres fragile","Meuble","0","M","Detritivore","Endofaune","110354","Animalia","Annelida","Polychaeta","Echiuroidea","Bonelliidae","Maxmuelleria",NA
"Maxmuelleria lankesteri","Peu mobile","I",NA,"Tres fragile","Meuble","0","M","Detritivore","Endofaune","110368","Animalia","Annelida","Polychaeta","Echiuroidea","Bonelliidae","Maxmuelleria","Maxmuelleria lankesteri"
"Mediomastus","Peu mobile","I",NA,"Tres fragile","Meuble","0","PM","Deposivore","Endofaune","129218","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Mediomastus",NA
"Heteromastus filiformis","Peu mobile","I","III","Tres fragile","Dur","1","PM","Deposivore","Endofaune","129884","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Heteromastus","Heteromastus filiformis"
"Megamoera dentata","Peu mobile","III","II","Peu fragile","Indifferent","0","TP","Deposivore","Epifaune","423508","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Megamoera","Megamoera dentata"
"Megamphopus cornutus","Mobile","I","I","Peu fragile","Indifferent","0","TP","Detritivore","Endofaune","102377","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Megamphopus","Megamphopus cornutus"
"Melanella","Peu mobile","I","I","Pas fragile","Meuble","0","P","Parasitique","Epifaune","137978","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Melanella",NA
"Melanella alba","Peu mobile","I","II","Pas fragile","Meuble","0","P","Parasitique","Endofaune","139832","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Melanella","Melanella alba"
"Melinna palmata","Peu mobile","III","II","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129808","Animalia","Annelida","Polychaeta","Terebellida","Melinnidae","Melinna","Melinna palmata"
"Melita palmata","Mobile","I","I","Peu fragile","Meuble","0","TP","Deposivore","Epifaune","102843","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Melita","Melita palmata"
"Melitidae","Mobile","I","III","Peu fragile","Indifferent","0","P","Detritivore","Epifaune","101397","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae",NA,NA
"Luidia ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","123920","Animalia","Echinodermata","Asteroidea","Paxillosida","Luidiidae","Luidia","Luidia ciliaris"
"Metaphoxus fultoni","Mobile","I","I","Peu fragile","Meuble","0","TP","Necrophage","Endofaune","102981","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Metaphoxus","Metaphoxus fultoni"
"Metaphoxus simplex","Mobile","I","III","Peu fragile","Meuble","0","TP","Necrophage","Endofaune","102984","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Metaphoxus","Metaphoxus simplex"
"Solea spp.","Mobile",NA,NA,"Tres fragile","Meuble","0","M","Predateur","Epifaune","126132","Animalia","Chordata","Actinopteri","Pleuronectiformes","Soleidae","Solea",NA
"Microdeutopus","Mobile","I","I","Peu fragile","Dur","0","TP","Deposivore","Endofaune","101471","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Microdeutopus",NA
"Microdeutopus anomalus","Mobile","I","I","Peu fragile","Meuble","0","TP","Deposivore","Endofaune","102043","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Microdeutopus","Microdeutopus anomalus"
"Microdeutopus versiculatus","Mobile","I","I","Peu fragile","Meuble","0","TP","Deposivore","Endofaune","102053","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Microdeutopus","Microdeutopus versiculatus"
"Micronereis variegata","Mobile","III",NA,"Peu fragile","Indifferent","0","TP","Omnivore","Interstice","130380","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Micronereis","Micronereis variegata"
"Lumbrineris spp.",NA,NA,"II",NA,NA,NA,NA,NA,"Endofaune","129337","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris",NA
"Microphthalmus","Peu mobile","I","II","Tres fragile","Meuble","0","TP","Deposivore","Endofaune","129313","Animalia","Annelida","Polychaeta","Phyllodocida","Microphthalmidae","Microphthalmus",NA
"Micropodarke","Mobile","II","III","Tres fragile","Meuble","0","P","Predateur","Epifaune","324829","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Micropodarke",NA
"Microprotopus maculatus","Mobile","I","I","Pas fragile","Meuble","0","TP","Detritivore","Endofaune","102380","Animalia","Arthropoda","Malacostraca","Amphipoda","Microprotopidae","Microprotopus","Microprotopus maculatus"
"Microspio mecznikowiana","Peu mobile","III","II","Tres fragile","Meuble","1","P","Deposivore","Endofaune","131138","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Microspio","Microspio mecznikowiana"
"Mimachlamys varia","Peu mobile","I","I","Pas fragile","Dur","0","M","Suspensivore","Epifaune","236719","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Mimachlamys","Mimachlamys varia"
"Modiolula phaseolina","Fixe","I","I","Pas fragile","Dur","0","P","Suspensivore","Epifaune","140461","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolula","Modiolula phaseolina"
"Modiolus","Fixe","I","I","Tres fragile","Indifferent","0","PM","Suspensivore","Epifaune","138223","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus",NA
"Modiolus adriaticus","Fixe","I","I","Tres fragile","Meuble","0","P","Suspensivore","Epifaune","140462","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus","Modiolus adriaticus"
"Modiolus barbatus","Fixe","I","I","Tres fragile","Dur","0","PM","Suspensivore","Epifaune","140464","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus","Modiolus barbatus"
"Modiolus barbatus","Fixe","I","II","Peu fragile","Indifferent","0","M","Suspensivore","Epifaune","140464","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus","Modiolus barbatus"
"Moerella donacina","Peu mobile","I","I","Peu fragile","Meuble","0","P","Suspensivore","Endofaune","147021","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Moerella","Moerella donacina"
"Molgula","Fixe","I","I","Pas fragile","Indifferent","0","P","Suspensivore","Epifaune","103509","Animalia","Chordata","Ascidiacea","Stolidobranchia","Molgulidae","Molgula",NA
"Monocorophium","Mobile","III","III","Peu fragile","Dur","1","TP","Detritivore","Interstice","148591","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Monocorophium",NA
"Monocorophium sextonae","Mobile","III","I","Peu fragile","Dur","1","TP","Detritivore","Interstice","148603","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Monocorophium","Monocorophium sextonae"
"Monodaeus couchii","Mobile","I","I","Pas fragile","Indifferent","0","P","Predateur","Epifaune","241154","Animalia","Arthropoda","Malacostraca","Decapoda","Xanthidae","Monodaeus","Monodaeus couchii"
"Macrochaeta",NA,NA,"II",NA,NA,NA,NA,NA,"Endofaune","129141","Animalia","Annelida","Polychaeta","Terebellida","Acrocirridae","Macrochaeta",NA
"Musculus costulatus","Fixe","I","I","Peu fragile","Dur","0","P","Suspensivore","Epifaune","140471","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Musculus","Musculus costulatus"
"Musculus subpictus","Fixe","I","I","Pas fragile","Dur","0","P","Suspensivore","Epifaune","506128","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Musculus","Musculus subpictus"
"Mycale","Fixe","I","II","Tres fragile","Dur","0","MG","Suspensivore","Epifaune","131907","Animalia","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale",NA
"Mycale (Aegogropila) contarenii","Fixe","II",NA,"Tres fragile","Dur","0","PM","Suspensivore","Epifaune","168526","Animalia","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale (Aegogropila) contarenii"
"Mycale (Carmia) macilenta","Fixe","II",NA,"Tres fragile","Dur","0","PM","Suspensivore","Epifaune","168587","Animalia","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale (Carmia) macilenta"
"Myrianida spp.","Peu mobile","II","II","Tres fragile","Dur","0","P","Predateur","Epifaune","129659","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Myrianida",NA
"Myrtea spinifera","Peu mobile","I","II","Pas fragile","Meuble","0","P","Suspensivore","Endofaune","140287","Animalia","Mollusca","Bivalvia","Lucinida","Lucinidae","Myrtea","Myrtea spinifera"
"Magelona sp.",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","129341","Animalia","Annelida","Polychaeta",NA,"Magelonidae","Magelona",NA
"Mysidae","Mobile","I",NA,"Tres fragile","Indifferent","0","PM","Omnivore","Epifaune","119822","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae",NA,NA
"Magelona filiformis",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","130268","Animalia","Annelida","Polychaeta",NA,"Magelonidae","Magelona","Magelona filiformis"
"Mysta picta","Mobile","II","III","Peu fragile","Dur","0","P","Predateur","Epifaune","147026","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Mysta","Mysta picta"
"Mytilus spp.","Fixe","I","III","Peu fragile","Dur","0","M","Suspensivore","Epifaune","138228","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus",NA
"Myxicola aesthetica","Peu mobile","I","II","Tres fragile","Dur","1","P","Suspensivore","Endofaune","130931","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Myxicola","Myxicola aesthetica"
"Malacoceros spp.",NA,NA,"III",NA,NA,NA,NA,NA,"Endofaune","129614","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Malacoceros",NA
"Myxicola infundibulum","Peu mobile","I","I","Tres fragile","Meuble","1","M","Suspensivore","Endofaune","130932","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Myxicola","Myxicola infundibulum"
"Myxilla sp.","Fixe","I",NA,"Tres fragile","Dur","0","M","Suspensivore","Epifaune","131970","Animalia","Porifera","Demospongiae","Poecilosclerida","Myxillidae","Myxilla",NA
"Maldane",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","129352","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Maldane",NA
"Maldane glebifex",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","130303","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Maldane","Maldane glebifex"
"Maldanidae spp.",NA,NA,"II",NA,NA,NA,NA,NA,"Endofaune","923","Animalia","Annelida","Polychaeta",NA,"Maldanidae",NA,NA
"Natatolana borealis","Mobile","I","II","Peu fragile","Meuble","0","TP","Necrophage","Interstice","118859","Animalia","Arthropoda","Malacostraca","Isopoda","Cirolanidae","Natatolana","Natatolana borealis"
"Neanthes acuminata","Mobile","III","III","Peu fragile","Meuble","1","PM","Omnivore","Interstice","157496","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Neanthes","Neanthes acuminata"
"Neanthes nubila","Peu mobile","III","III","Peu fragile","Meuble","1","PM","Omnivore","Interstice","334102","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Neanthes","Neanthes nubila"
"Nebalia spp.","Mobile","I","V","Peu fragile","Meuble","0","P","Suspensivore","Interstice","147031","Animalia","Arthropoda","Malacostraca","Leptostraca","Nebaliidae","Nebalia",NA
"Nebaliidae sp.","Mobile","I","V","Peu fragile","Dur","0","P","Suspensivore","Epifaune","147029","Animalia","Arthropoda","Malacostraca","Leptostraca","Nebaliidae",NA,NA
"Necora puber","Mobile","I","I","Pas fragile","Indifferent","0","PM","Predateur","Epifaune","107398","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Necora","Necora puber"
"Nemertea spp.","Mobile","II","I","Tres fragile","Indifferent","0","G","Predateur","Interstice","152391","Animalia","Nemertea",NA,NA,NA,NA,NA
"Neoamphitrite","Peu mobile","I","I","Peu fragile","Meuble","1","MG","Deposivore","Interstice","129702","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Neoamphitrite",NA
"Neoamphitrite edwardsii","Peu mobile","I","I","Peu fragile","Meuble","1","MG","Deposivore","Interstice","131503","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Neoamphitrite","Neoamphitrite edwardsii"
"Neoamphitrite figulus","Peu mobile","I","I","Peu fragile","Meuble","1","MG","Deposivore","Interstice","131504","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Neoamphitrite","Neoamphitrite figulus"
"Mysida spp.","Mobile","I","II","Tres fragile","Indifferent","0","P","Suspensivore","Epifaune","149668","Animalia","Arthropoda","Malacostraca","Mysida",NA,NA,NA
"Nephtys spp.","Mobile","II","II","Peu fragile","Meuble","0","M","Predateur","Endofaune","129370","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys",NA
"Nephtys cf. hombergii","Mobile","I","II","Peu fragile","Meuble","0","PM","Predateur","Endofaune","130359","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys hombergii"
"Nephtys cf. hombergii","Mobile","II","II","Peu fragile","Indifferent","0","M","Predateur","Endofaune","130359","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys hombergii"
"Nephtys cirrosa","Mobile","I","II","Peu fragile","Meuble","0","PM","Predateur","Endofaune","130357","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys cirrosa"
"Nephtys cf. hombergii","Mobile","I","II","Peu fragile","Meuble","0","M","Predateur","Endofaune","130359","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys hombergii"
"Nephtys cf. hombergii","Mobile","II","II","Peu fragile","Meuble","0","P","Predateur","Endofaune","130359","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys hombergii"
"Nereididae","Mobile","III",NA,"Peu fragile","Meuble","0","PM","Detritivore","Endofaune","22496","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae",NA,NA
"Nereimyra punctata","Mobile","II","III","Tres fragile","Indifferent","0","P","Predateur","Epifaune","130185","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Nereimyra","Nereimyra punctata"
"Megaluropus agilis",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","102783","Animalia","Arthropoda","Malacostraca","Amphipoda","Megaluropidae","Megaluropus","Megaluropus agilis"
"Nereiphylla","Mobile","I","II","Peu fragile","Indifferent","0","PM","Predateur","Endofaune","129451","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Nereiphylla",NA
"Nereiphylla rubiginosa","Mobile","I","II","Peu fragile","Indifferent","0","TP","Predateur","Interstice","130659","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Nereiphylla","Nereiphylla rubiginosa"
"Nerophis lumbriciformis","Mobile",NA,NA,"Peu fragile","Dur","0","M","Predateur","Interstice","127383","Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Nerophis","Nerophis lumbriciformis"
"Nicolea venustula","Peu mobile","I","II","Tres fragile","Meuble","1","PM","Deposivore","Interstice","131507","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Nicolea","Nicolea venustula"
"Melanella polita",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","139859","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Melanella","Melanella polita"
"Normanion chevreuxi","Peu mobile","I",NA,"Peu fragile","Meuble","0","TP","Parasitique","Epifaune","102629","Animalia","Arthropoda","Malacostraca","Amphipoda","Opisidae","Normanion","Normanion chevreuxi"
"Normanion quadrimanus","Peu mobile","I",NA,"Peu fragile","Meuble","0","TP","Parasitique","Epifaune","102630","Animalia","Arthropoda","Malacostraca","Amphipoda","Opisidae","Normanion","Normanion quadrimanus"
"Melita hergensis",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","102840","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Melita","Melita hergensis"
"Nothria britannica","Peu mobile","I","II","Tres fragile","Meuble","1","P","Predateur","Epifaune","130466","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae","Nothria","Nothria britannica"
"Nothria conchylega","Peu mobile","I","II","Tres fragile","Meuble","1","M","Predateur","Epifaune","130467","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae","Nothria","Nothria conchylega"
"Notomastus","Peu mobile","III","III","Tres fragile","Meuble","0","M","Deposivore","Endofaune","129220","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Notomastus",NA
"Notomastus latericeus","Peu mobile","III","III","Tres fragile","Meuble","0","MG","Deposivore","Endofaune","129898","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Notomastus","Notomastus latericeus"
"Notophyllum","Mobile","II","II","Peu fragile","Indifferent","0","PM","Predateur","Interstice","129452","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Notophyllum",NA
"Notophyllum foliosum","Mobile","II","II","Peu fragile","Indifferent","0","PM","Predateur","Interstice","130661","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Notophyllum","Notophyllum foliosum"
"Notoplana atomata","Mobile","I","II","Tres fragile","Indifferent","0","P","Predateur","Epifaune","152414","Animalia","Platyhelminthes",NA,"Polycladida","Notoplanidae","Notoplana","Notoplana atomata"
"Nototropis guttatus","Mobile","I","II","Peu fragile","Meuble","0","TP","Detritivore","Epifaune","488957","Animalia","Arthropoda","Malacostraca","Amphipoda","Atylidae","Nototropis","Nototropis guttatus"
"Nototropis swammerdamei","Mobile","I","I","Peu fragile","Meuble","0","TP","Detritivore","Epifaune","488966","Animalia","Arthropoda","Malacostraca","Amphipoda","Atylidae","Nototropis","Nototropis swammerdamei"
"Nototropis vedlomensis","Mobile","III","I","Peu fragile","Meuble","0","TP","Detritivore","Epifaune","179538","Animalia","Arthropoda","Malacostraca","Amphipoda","Atylidae","Nototropis","Nototropis vedlomensis"
"Jassa sp.",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","101571","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Jassa",NA
"Nucula hanleyi","Peu mobile","I","I","Pas fragile","Indifferent","0","TP","Suspensivore","Endofaune","140588","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula","Nucula hanleyi"
"Nucula nitidosa","Mobile","I","I","Pas fragile","Meuble","0","TP","Deposivore","Endofaune","140589","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula","Nucula nitidosa"
"Nucula nucleus","Fixe","I","II","Pas fragile","Meuble","0","TP","Detritivore","Endofaune","140590","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula","Nucula nucleus"
"Microprotopus longimanus",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","102379","Animalia","Arthropoda","Malacostraca","Amphipoda","Microprotopidae","Microprotopus","Microprotopus longimanus"
"Nudibranchia spp.","Mobile","I","III","Tres fragile","Dur","0","M","Predateur","Epifaune","1762","Animalia","Mollusca","Gastropoda","Nudibranchia",NA,NA,NA
"Microspio",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","129616","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Microspio",NA
"Ocenebra erinaceus","Mobile","I","II","Peu fragile","Dur","0","P","Predateur","Epifaune","140405","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ocenebra","Ocenebra erinaceus"
"Ocinebrina aciculata","Peu mobile","I","II","Peu fragile","Dur","0","P","Predateur","Interstice","140407","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ocinebrina","Ocinebrina aciculata"
"Ocnus brunneus","Peu mobile","I","I","Peu fragile","Meuble","0","P","Suspensivore","Interstice","124639","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Ocnus","Ocnus brunneus"
"Ocnus lacteus","Peu mobile","I","I","Peu fragile","Dur","0","P","Suspensivore","Interstice","124645","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Ocnus","Ocnus lacteus"
"Ocnus planci","Peu mobile","I","I","Pas fragile","Meuble","0","M","Suspensivore","Epifaune","124647","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Ocnus","Ocnus planci"
"Octobranchus","Peu mobile","I","II","Peu fragile","Meuble","1","P","Deposivore","Endofaune","129716","Animalia","Annelida","Polychaeta","Terebellida","Trichobranchidae","Octobranchus",NA
"Octobranchus lingulatus","Peu mobile","I","II","Peu fragile","Meuble","1","P","Deposivore","Endofaune","131571","Animalia","Annelida","Polychaeta","Terebellida","Trichobranchidae","Octobranchus","Octobranchus lingulatus"
"Odontosyllis ctenostoma","Mobile","II","II","Pas fragile","Indifferent","0","P","Predateur","Epifaune","131325","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Odontosyllis","Odontosyllis ctenostoma"
"Odontosyllis fulgurans","Mobile","II","II","Tres fragile","Dur","0","P","Omnivore","Epifaune","131327","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Odontosyllis","Odontosyllis fulgurans"
"Odontosyllis gibba","Mobile","II","II","Tres fragile","Dur","0","P","Omnivore","Epifaune","131328","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Odontosyllis","Odontosyllis gibba"
"Odostomia spp.","Fixe","I","II","Peu fragile","Dur","0","TP","Parasitique","Interstice","138413","Animalia","Mollusca","Gastropoda",NA,"Pyramidellidae","Odostomia",NA
"Nemertea spp.","Peu mobile","II","III","Tres fragile","Indifferent","0","P","Predateur","Interstice","152391","Animalia","Nemertea",NA,NA,NA,NA,NA
"Oligochaeta spp.","Peu mobile","V","V","Tres fragile","Meuble","0","TP","Deposivore","Endofaune","2036","Animalia","Annelida","Clitellata",NA,NA,NA,NA
"Onchidoris","Mobile","I","I","Tres fragile","Dur","0","PM","Brouteur","Epifaune","138288","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Onchidoris",NA
"Nudibranchia spp.","Mobile","I","I","Tres fragile","Dur","0","P","Predateur","Epifaune","1762","Animalia","Mollusca","Gastropoda","Nudibranchia",NA,NA,NA
"Onoba semicostata","Peu mobile","I","I","Pas fragile","Dur","0","TP","Detritivore","Epifaune","141320","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Onoba","Onoba semicostata"
"Ophelia bicornis","Peu mobile","I","I","Peu fragile","Meuble","0","P","Deposivore","Endofaune","130490","Animalia","Annelida","Polychaeta",NA,"Opheliidae","Ophelia","Ophelia bicornis"
"Ophelia borealis","Peu mobile","I","I","Peu fragile","Meuble","0","PM","Deposivore","Endofaune","130491","Animalia","Annelida","Polychaeta",NA,"Opheliidae","Ophelia","Ophelia borealis"
