Espece	Mobility	AFF.MO	AMBI	Fragilite	AFF.RO	Tube	Taille	GT	Position	Phylum	Class	Order	Family
Golfingia (Golfingia) vulgaris vulgaris	Peu mobile	I	I	Tres fragile	Meuble	0	M	Detritivore	Endofaune	Sipuncula	Sipunculidea	Golfingiida	Golfingiidae
Goniada maculata	Mobile	II	II	Peu fragile	Meuble	0	M	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Goniadidae
Goniadella bobrezkii	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Goniadidae
Goniadella gracilis	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Goniadidae
Goodallia triangularis	Peu mobile	I	II	Pas fragile	Meuble	0	TP	Suspensivore	Endofaune	Mollusca	Bivalvia	Carditida	Astartidae
Gammarellus angulosus			I						Epifaune				
Gouldia minima	Peu mobile	II	I	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Veneridae
Grania	Peu mobile	I	V	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Clitellata	Enchytraeida	Enchytraeidae
Gymnammodytes cicerelus	Mobile	NA	NA	Peu fragile	Meuble	0	M	Predateur	Epifaune	Chordata	Actinopteri	Perciformes	Ammodytidae
Gymnammodytes semisquamatus	Mobile	NA	NA	Peu fragile	Meuble	0	MG	Predateur	Epifaune	Chordata	Actinopteri	Perciformes	Ammodytidae
Gammaropsis sophiae			I						Epifaune				
Gyptis propinqua	Mobile	II	II	Tres fragile	Meuble	0	TP	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Hesionidae
Haedropleura septangularis	Peu mobile	I	I	Pas fragile	Meuble	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Neogastropoda	Horaiclavidae
Halcampa	Peu mobile	I	I	Tres fragile	Meuble	0	PM	Predateur	Interstice	Cnidaria	Anthozoa	Actiniaria	Halcampidae
Halcampa chrysanthellum	Fixe	I	I	Tres fragile	Meuble	0	PM	Predateur	Endofaune	Cnidaria	Anthozoa	Actiniaria	Halcampidae
Halcampidae	Peu mobile	I	I	Tres fragile	Meuble	0	PM	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Halcampidae
Halichondria	Fixe	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Suberitida	Halichondriidae
Halichondria (Halichondria) bowerbanki	Fixe	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Suberitida	Halichondriidae
Halichondria (Halichondria) panicea	Fixe	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Suberitida	Halichondriidae
Haliclona	Fixe	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Haplosclerida	Chalinidae
Haliclona (Haliclona) oculata	Fixe	I	II	Tres fragile	Dur	0	MG	Suspensivore	Epifaune	Porifera	Demospongiae	Haplosclerida	Chalinidae
Haliclona (Haliclona) simulans	Fixe	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Haplosclerida	Chalinidae
Gitana sarsi			II						Epifaune				
Haliclona (Reniera) cinerea	Fixe	I	I	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Porifera	Demospongiae	Haplosclerida	Chalinidae
Haminoea hydatis	Peu mobile	II	II	Tres fragile	Meuble	0	P	Herbivore	Epifaune	Mollusca	Gastropoda	Cephalaspidea	Haminoeidae
Glycera capitata			II						Endofaune				
Hanleya hanleyi	Fixe	I	I	Peu fragile	Dur	0	P	Brouteur	Epifaune	Mollusca	Polyplacophora	Lepidopleurida	Hanleyidae
Haploops	Peu mobile	I	III	Peu fragile	Meuble	1	TP	Suspensivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Haploops antennata	Peu mobile	I	III	Peu fragile	Meuble	1	TP	Suspensivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Haploops gascogni	Peu mobile	I	III	Peu fragile	Meuble	1	TP	Suspensivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Glycera oxycephala			II						Endofaune				
Haplostylus lobatus	Mobile	I	II	Tres fragile	Meuble	0	TP	Omnivore	Epifaune	Arthropoda	Malacostraca	Mysida	Mysidae
Glycera tesselata			II						Endofaune				
Haplostylus normani	Mobile	I	II	Tres fragile	Meuble	0	TP	Omnivore	Epifaune	Arthropoda	Malacostraca	Mysida	Mysidae
Haplosyllis spongicola	Mobile	II	II	Peu fragile	Dur	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
Harmothoe	Mobile	II	II	Peu fragile	Dur	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Glyceridae			II						Endofaune				
Harmothoe areolata	Peu mobile	II	II	Peu fragile	Dur	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe aspera	Peu mobile	II	II	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe bellani	Peu mobile	II	II	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe extenuata	Mobile	II	II	Peu fragile	Indifferent	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe fernandi	Peu mobile	II	II	Peu fragile	Indifferent	0	TP	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe fragilis	Peu mobile	II	II	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe glabra	Peu mobile	II	II	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe imbricata	Mobile	II	II	Peu fragile	Indifferent	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe impar	Mobile	II	II	Tres fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe mariannae	Mobile	I	II	Peu fragile	Dur	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe spinifera	Mobile	II	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harmothoe viridis	Peu mobile	II	II	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Harpinia	Mobile	I	I	Peu fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Phoxocephalidae
Goniada			NA						Endofaune				
Harpinia crenulata	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Phoxocephalidae
Goniada emerita			II						Endofaune				
Harpinia pectinata	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Phoxocephalidae
Goniada norvegica			II						Endofaune				
Hermania scabra	Peu mobile	I	II	Tres fragile	Meuble	0	P	Predateur	Endofaune	Mollusca	Gastropoda	Cephalaspidea	Philinidae
Goniadella			II						Endofaune				
Hesione splendida	Mobile	II	II	Peu fragile	Dur	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Hesionidae
Hesionidae	Mobile	II	II	Tres fragile	Indifferent	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Hesionidae
Hesiospina aurantiaca	Mobile	II	II	Tres fragile	Meuble	0	P	Inconnu	Interstice	Annelida	Polychaeta	Phyllodocida	Hesionidae
Heteranomia squamula	Fixe	I	I	Peu fragile	Dur	0	P	Suspensivore	Epifaune	Mollusca	Bivalvia	Pectinida	Anomiidae
Heteroclymene robusta	Peu mobile	I	V	Peu fragile	Meuble	1	M	Deposivore	Endofaune	Annelida	Polychaeta		Maldanidae
Heteromastus filiformis	Peu mobile	III	III	Tres fragile	Meuble	1	MG	Deposivore	Endofaune	Annelida	Polychaeta		Capitellidae
Gregariella semigranata			I						Epifaune				
Heteromysis	Mobile	I	II	Tres fragile	Meuble	0	TP	Omnivore	Epifaune	Arthropoda	Malacostraca	Mysida	Mysidae
Heteromysis (Heteromysis) armoricana	Mobile	I	II	Tres fragile	Meuble	0	TP	Omnivore	Interstice	Arthropoda	Malacostraca	Mysida	Mysidae
Heteromysis (Heteromysis) norvegica	Mobile	I	II	Tres fragile	Meuble	0	TP	Suspensivore	Interstice	Arthropoda	Malacostraca	Mysida	Mysidae
Hiatella arctica	Fixe	I	III	Pas fragile	Dur	0	PM	Suspensivore	Epifaune	Mollusca	Bivalvia	Adapedonta	Hiatellidae
Hiatella rugosa	Peu mobile	III	I	Pas fragile	Dur	0	P	Suspensivore	Interstice	Mollusca	Bivalvia	Adapedonta	Hiatellidae
Hilbigneris gracilis	Mobile	II	II	Peu fragile	Indifferent	0	PM	Inconnu	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
Hippolyte inermis	Mobile	I	I	Peu fragile	Dur	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Hippolytidae
Hippolyte varians	Mobile	I	I	Peu fragile	Indifferent	0	P	Detritivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Hippolytidae
Hippolytidae	Mobile	I	I	Peu fragile	Indifferent	0	PM	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Hippolytidae
Hippomedon denticulatus	Peu mobile	I	I	Peu fragile	Meuble	0	P	Necrophage	Interstice	Arthropoda	Malacostraca	Amphipoda	Tryphosidae
Holothuriidae	Peu mobile	I	I	Tres fragile	Indifferent	0	M	Suspensivore	Endofaune	Echinodermata	Holothuroidea	Holothuriida	Holothuridae
Haliclona (Gellius) rava			NA						Epifaune				
Hormathia	Fixe	I	I	Tres fragile	Dur	0	PM	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Hormathiidae
Hormathiidae	Fixe	I	I	Tres fragile	Dur	0	PM	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Hormathiidae
Hydroides norvegica	Fixe	I	II	Tres fragile	Indifferent	1	P	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Serpulidae
Haliotis tuberculata			I						Epifaune				
Hymeniacidon	Fixe	I	II	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Suberitida	Halichondriidae
Hymeniacidon kitchingi	Fixe	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Suberitida	Halichondriidae
Hymeniacidon perlevis	Fixe	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Suberitida	Halichondriidae
Hypereteone foliosa	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Hyperoplus lanceolatus	Mobile	NA	NA	Peu fragile	Meuble	0	M	Predateur	Epifaune	Chordata	Actinopteri	Perciformes	Ammodytidae
Hypsicomus stichophthalmos	Peu mobile	I	II	Tres fragile	Meuble	1	P	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Ianiropsis breviremis	Mobile	I	NA	Tres fragile	Dur	0	TP	Herbivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Janiridae
Idotea balthica	Mobile	I	II	Peu fragile	Meuble	0	P	Herbivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Idoteidae
Idotea pelagica	Mobile	I	II	Peu fragile	Dur	0	P	Omnivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Idoteidae
Idunella	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Predateur	Endofaune	Arthropoda	Malacostraca	Amphipoda	Liljeborgiidae
Harmothoe antilopes			II						Epifaune				
Idunella dentipalma	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Predateur	Endofaune	Arthropoda	Malacostraca	Amphipoda	Liljeborgiidae
Idunella excavata	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Predateur	Endofaune	Arthropoda	Malacostraca	Amphipoda	Liljeborgiidae
Idunella picta	Mobile	I	I	Peu fragile	Meuble	0	TP	Predateur	Interstice	Arthropoda	Malacostraca	Amphipoda	Liljeborgiidae
Idunella spinifera	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Predateur	Endofaune	Arthropoda	Malacostraca	Amphipoda	Liljeborgiidae
Inachus dorsettensis	Mobile	I	I	Tres fragile	Meuble	0	P	Omnivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Inachidae
Inachus leptochirus	Mobile	I	I	Tres fragile	Meuble	0	P	Omnivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Inachidae
Harmothoe fraserthomsoni			II						Epifaune				
Inachus phalangium	Peu mobile	I	I	Peu fragile	Dur	0	P	Detritivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Inachidae
Incatella cingulata	Peu mobile	I	NA	Peu fragile	Meuble	0	P	Suspensivore	Interstice	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Turritellidae
Iphimedia minuta	Mobile	I	I	Peu fragile	Meuble	0	TP	Detritivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Iphimediidae
Iphimedia nexa	Mobile	I	I	Peu fragile	Dur	0	TP	Detritivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Iphimediidae
Harmothoe pagenstecheri			II						Epifaune				
Iphimedia obesa	Mobile	I	I	Peu fragile	Dur	0	P	Detritivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Iphimediidae
Iphimedia spatula	Mobile	I	I	Peu fragile	Dur	0	TP	Detritivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Iphimediidae
Iphinoe trispinosa	Mobile	III	I	Peu fragile	Meuble	0	P	Deposivore	Endofaune	Arthropoda	Malacostraca	Cumacea	Bodotriidae
Irus irus	Fixe	I	I	Tres fragile	Dur	0	P	Suspensivore	Interstice	Mollusca	Bivalvia	Venerida	Veneridae
Isaeidae	Mobile	I	I	Peu fragile	Indifferent	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Isaeidae
Ischyroceridae	Mobile	I	II	Peu fragile	Indifferent	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae
Hedylopsis			NA						Epifaune				
Hemilepton nitidum			II						Endofaune				
Janira maculosa	Mobile	III	I	Tres fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Janiridae
Jasmineira	Fixe	I	II	Tres fragile	Indifferent	1	P	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Jasmineira caudata	Peu mobile	I	II	Tres fragile	Meuble	1	TP	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Jasmineira elegans	Peu mobile	I	II	Tres fragile	Meuble	1	P	Suspensivore	Endofaune	Annelida	Polychaeta	Sabellida	Sabellidae
Hesionura			NA						Epifaune				
Hesionura elongata			II						Epifaune				
Jorunna tomentosa	Mobile	I	NA	Tres fragile	Indifferent	0	PM	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Discodorididae
Jujubinus exasperatus	Peu mobile	I	I	Pas fragile	Indifferent	0	P	Brouteur	Epifaune	Mollusca	Gastropoda	Trochida	Trochidae
Jujubinus montagui	Peu mobile	I	I	Pas fragile	Dur	0	TP	Brouteur	Epifaune	Mollusca	Gastropoda	Trochida	Trochidae
Jujubinus striatus	Peu mobile	I	I	Pas fragile	Dur	0	TP	Brouteur	Epifaune	Mollusca	Gastropoda	Trochida	Trochidae
Kellia suborbicularis	Peu mobile	I	I	Pas fragile	Dur	0	P	Suspensivore	Interstice	Mollusca	Bivalvia	Galeommatida	Lasaeidae
Kirkegaardia	Peu mobile	I	IV	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Kirkegaardia dorsobranchialis	Peu mobile	I	IV	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Heteromysis (Heteromysis) formosa			II						Interstice				
Kirkegaardia heterochaeta	Peu mobile	I	IV	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Kroyera carinata	Mobile	I	I	Pas fragile	Meuble	0	P	Predateur	Endofaune	Arthropoda	Malacostraca	Amphipoda	Oedicerotidae
Hexacorallia			NA						NA				
Kurtiella bidentata	Peu mobile	I	III	Tres fragile	Meuble	0	TP	Suspensivore	Epifaune	Mollusca	Bivalvia	Galeommatida	Lasaeidae
Hiatella			NA						Epifaune				
Lacydonia miranda	Mobile	I	II	Peu fragile	Meuble	0	TP	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Lacydoniidae
Laetmonice hystrix	Mobile	II	II	Pas fragile	Meuble	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Aphroditidae
Laevicardium crassum	Peu mobile	I	I	Pas fragile	Meuble	0	PM	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Cardiidae
Lagis koreni	Peu mobile	I	IV	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Pectinariidae
Lamellaria latens	Peu mobile	I	NA	Tres fragile	Dur	0	TP	Predateur	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Velutinidae
Lanice conchilega	Peu mobile	I	II	Tres fragile	Meuble	1	MG	Suspensivore	Interstice	Annelida	Polychaeta	Terebellida	Terebellidae
Laonice bahusiensis	Peu mobile	III	II	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Laonice cirrata	Peu mobile	I	II	Tres fragile	Meuble	1	M	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Holothuroidea			I						NA				
Laonice irinae	Peu mobile	III	NA	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Lebetus guilleti	Mobile	NA	NA	Peu fragile	Meuble	0	P	Predateur	Epifaune	Chordata	Actinopteri	Gobiiformes	Gobiidae
Leiochone leiopygos	Peu mobile	I	III	Tres fragile	Meuble	1	M	Deposivore	Endofaune	Annelida	Polychaeta		Maldanidae
Hyas coarctatus			I						Epifaune				
Lekanesphaera rugicauda	Mobile	III	III	Peu fragile	Meuble	0	TP	Omnivore	Interstice	Arthropoda	Malacostraca	Isopoda	Sphaeromatidae
Lembos websteri	Peu mobile	I	I	Tres fragile	Indifferent	1	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Aoridae
Leodice harassii	Mobile	II	II	Peu fragile	Indifferent	1	MG	Predateur	Interstice	Annelida	Polychaeta	Eunicida	Eunicidae
Leodora laevis	Fixe	I	NA	Tres fragile	Dur	1	P	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Serpulidae
Lepadogaster	Peu mobile	NA	NA	Tres fragile	Dur	0	PM	Predateur	Interstice	Chordata	Actinopteri	Gobiesociformes	Gobiesocidae
Lepadogaster lepadogaster	Peu mobile	NA	NA	Tres fragile	Dur	0	PM	Predateur	Interstice	Chordata	Actinopteri	Gobiesociformes	Gobiesocidae
Lepidepecreum longicorne	Peu mobile	I	I	Pas fragile	Dur	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Tryphosidae
Lepidochitona cinerea	Peu mobile	I	II	Peu fragile	Meuble	0	P	Brouteur	Epifaune	Mollusca	Polyplacophora	Chitonida	Tonicellidae
Lepidonotus	Mobile	II	II	Peu fragile	Indifferent	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Lepidonotus clava	Mobile	II	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Idotea granulosa			II						Epifaune				
Lepidonotus squamatus	Mobile	II	II	Peu fragile	Dur	0	MG	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Idotea neglecta			II						Epifaune				
Leptocheirus hirsutimanus	Mobile	III	II	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Leptocheirus pectinatus	Mobile	III	III	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Leptocheirus pilosus	Peu mobile	III	III	Peu fragile	Dur	1	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Leptocheirus tricristatus	Mobile	III	III	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Leptocheliidae	Peu mobile	I	NA	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Tanaidacea	Leptocheliidae
Idunella mollis			I						Endofaune				
Leptochiton	Peu mobile	I	I	Pas fragile	Dur	0	P	Brouteur	Epifaune	Mollusca	Polyplacophora	Lepidopleurida	Leptochitonidae
Leptochiton asellus	Peu mobile	I	I	Pas fragile	Dur	0	P	Brouteur	Epifaune	Mollusca	Polyplacophora	Lepidopleurida	Leptochitonidae
Leptochiton cancellatus	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Brouteur	Epifaune	Mollusca	Polyplacophora	Lepidopleurida	Leptochitonidae
Leptochiton scabridus	Peu mobile	I	I	Pas fragile	Dur	0	P	Brouteur	Epifaune	Mollusca	Polyplacophora	Lepidopleurida	Leptochitonidae
Leptognathiidae	Peu mobile	I	NA	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Tanaidacea	Leptognathiidae
Inermonephtys inermis			II						Endofaune				
Leptoplana	Mobile	I	II	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Platyhelminthes		Polycladida	Leptoplanidae
Iphimedia eblanae			NA						Interstice				
Leptoplana tremellaris	Mobile	II	I	Tres fragile	Dur	0	P	Predateur	Epifaune	Platyhelminthes		Polycladida	Leptoplanidae
Leptoplanidae	Mobile	I	II	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Platyhelminthes		Polycladida	Leptoplanidae
Leptosynapta	Peu mobile	I	I	Tres fragile	Meuble	0	PM	Detritivore	Endofaune	Echinodermata	Holothuroidea	Apodida	Synaptidae
Leptosynapta cruenta	Peu mobile	I	I	Tres fragile	Meuble	0	M	Detritivore	Endofaune	Echinodermata	Holothuroidea	Apodida	Synaptidae
Iphimedia perplexa			NA						Interstice				
Leptosynapta galliennii	Peu mobile	I	I	Tres fragile	Meuble	0	M	Detritivore	Endofaune	Echinodermata	Holothuroidea	Apodida	Synaptidae
Leptosynapta inhaerens	Peu mobile	I	I	Tres fragile	Meuble	1	M	Detritivore	Endofaune	Echinodermata	Holothuroidea	Apodida	Synaptidae
Iphinoe tenella			I						Endofaune				
Leptosynapta minuta	Peu mobile	I	I	Tres fragile	Meuble	0	P	Detritivore	Interstice	Echinodermata	Holothuroidea	Apodida	Synaptidae
Leuconia	Fixe	I	NA	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Porifera	Calcarea	Baerida	Baeriidae
Leucosolenia complicata	Fixe	I	NA	Tres fragile	Dur	0	P	Suspensivore	Epifaune	Porifera	Calcarea	Leucosolenida	Leucosoleniidae
Leucothoe	Mobile	I	I	Tres fragile	Indifferent	0	TP	Suspensivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Leucothoidae
Isopoda			NA						NA				
Leucothoe incisa	Mobile	I	I	Tres fragile	Meuble	0	TP	Suspensivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Leucothoidae
Leucothoe richiardii	Mobile	I	I	Tres fragile	Meuble	0	TP	Suspensivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Leucothoidae
Leucothoe spinicarpa	Mobile	I	I	Tres fragile	Dur	0	P	Suspensivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Leucothoidae
Jassa falcata			V						Epifaune				
Lichenoporidae	Fixe	I	NA	Peu fragile	Dur	0	TP	Suspensivore	Epifaune	Bryozoa	Stenolaemata	Cyclostomatida	Lichenoporidae
Jassa marmorata			V						Epifaune				
Liljeborgia kinahani	Mobile	I	I	Tres fragile	Meuble	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Liljeborgiidae
Jassa pusilla			V						Epifaune				
Liljeborgia pallida	Mobile	I	I	Tres fragile	Dur	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Liljeborgiidae
Limacia clavigera	Mobile	I	NA	Tres fragile	Dur	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Polyceridae
Limaria loscombi	Peu mobile	I	I	Tres fragile	Meuble	0	P	Suspensivore	Epifaune	Mollusca	Bivalvia	Limida	Limidae
Limatula subauriculata	Peu mobile	I	I	Peu fragile	Indifferent	0	TP	Suspensivore	Epifaune	Mollusca	Bivalvia	Limida	Limidae
Lineus	Mobile	II	I	Tres fragile	Indifferent	1	G	Predateur	Epifaune	Nemertea	Pilidiophora	Heteronemertea	Lineidae
Liocarcinus	Mobile	I	I	Pas fragile	Meuble	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Polybiidae
Liocarcinus corrugatus	Mobile	I	I	Pas fragile	Meuble	0	PM	Omnivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Polybiidae
Liocarcinus depurator	Mobile	I	I	Tres fragile	Meuble	0	PM	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Polybiidae
Liocarcinus holsatus	Mobile	I	I	Tres fragile	Dur	0	PM	Predateur	Interstice	Arthropoda	Malacostraca	Decapoda	Polybiidae
Liocarcinus marmoreus	Mobile	I	I	Pas fragile	Meuble	0	PM	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Polybiidae
Liocarcinus navigator	Mobile	I	I	Pas fragile	Indifferent	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Polybiidae
Liocarcinus pusillus	Mobile	I	I	Pas fragile	Meuble	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Polybiidae
Loimia ramzega	Peu mobile	I	I	Tres fragile	Meuble	1	G	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Terebellidae
Loripes orbiculatus	Fixe	I	I	Tres fragile	Meuble	0	P	Chemosymbiotique	Endofaune	Mollusca	Bivalvia	Lucinida	Lucinidae
Loxosomella	Fixe	I	NA	Tres fragile	Dur	0	TP	Suspensivore	Epifaune	Entoprocta			Loxosomatidae
Lagotia viridis			NA						Epifaune				
Loxosomella phascolosomata	Fixe	I	NA	Tres fragile	Dur	0	TP	Suspensivore	Epifaune	Entoprocta			Loxosomatidae
Lucinella divaricata	Peu mobile	I	I	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Lucinida	Lucinidae
Lucinoma borealis	Peu mobile	I	I	Pas fragile	Meuble	0	PM	Suspensivore	Endofaune	Mollusca	Bivalvia	Lucinida	Lucinidae
Laonice			NA						Endofaune				
Lumbrineridae	Peu mobile	II	II	Peu fragile	Indifferent	0	M	Predateur	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
Lumbrinerides amoureuxi	Mobile	I	II	Peu fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
